Price,Min Nights,No of Reviews,Reviews Per Month,Calculated Host Listings,Availability,Neighbourhood Group Code,Room Type Code,Clusters,Cluster
150,30,49,0.3,3,314,1,1,3,black
60,30,50,0.3,2,365,2,2,3,black
75,2,118,0.72,1,0,1,2,0,rose
68,2,575,3.41,1,106,1,2,0,rose
275,60,3,0.03,1,181,2,1,3,black
93,3,350,2.25,1,145,2,2,0,rose
295,4,45,0.27,1,1,1,1,0,rose
124,3,223,1.32,3,164,2,2,0,rose
200,1,68,0.44,4,310,1,2,3,black
81,30,189,1.13,1,207,2,1,3,black
65,30,1,0.11,2,204,1,2,3,black
250,28,47,0.37,1,81,1,1,0,rose
120,30,32,0.22,1,0,1,1,0,rose
160,30,74,0.51,1,77,2,1,0,rose
80,30,4,0.03,1,0,2,2,0,rose
55,30,0,0.0,1,0,3,2,0,rose
62,30,243,1.49,1,249,1,2,3,black
100,2,532,3.45,2,289,2,2,3,black
139,30,93,0.61,1,364,2,2,3,black
95,7,13,0.09,2,0,2,2,0,rose
215,14,36,0.26,1,184,1,1,3,black
100,30,7,0.07,1,362,2,2,3,black
195,30,291,1.89,1,92,2,1,0,rose
596,2,236,1.61,1,21,1,1,0,rose
205,2,323,2.02,2,307,2,2,3,black
139,120,20,0.14,1,0,1,1,0,rose
395,30,9,0.05,1,365,2,1,3,black
95,90,9,0.06,1,174,2,2,0,rose
160,30,63,0.48,1,67,1,1,0,rose
82,7,73,0.48,1,267,1,2,3,black
332,4,40,0.34,2,309,1,1,3,black
127,2,173,1.05,2,288,2,1,3,black
175,30,58,0.35,1,0,1,1,0,rose
200,45,143,0.93,1,186,1,1,3,black
150,6,29,0.19,1,33,2,1,0,rose
900,3,42,0.32,1,212,2,1,2,purple
55,30,98,0.92,1,190,1,2,3,black
90,30,82,0.52,5,241,2,2,3,black
107,15,60,0.41,1,26,1,1,0,rose
200,30,45,0.34,1,202,1,1,3,black
99,7,156,1.02,1,74,1,1,0,rose
150,4,251,1.64,2,14,2,2,0,rose
229,1,50,0.34,1,0,2,1,0,rose
90,30,15,0.27,2,362,4,1,3,black
124,4,222,1.36,3,163,2,2,0,rose
98,2,81,0.5,1,4,2,1,0,rose
139,30,44,0.29,2,187,1,2,3,black
150,30,0,0.0,1,0,2,2,0,rose
78,30,30,0.2,1,144,3,2,0,rose
60,7,291,1.79,2,43,1,2,0,rose
110,30,37,0.26,1,0,1,1,0,rose
135,30,337,2.21,2,0,2,1,0,rose
85,10,36,0.29,1,0,2,2,0,rose
164,3,355,2.29,1,94,3,2,0,rose
750,5,73,0.48,1,114,1,1,2,purple
125,30,74,0.46,1,156,2,1,0,rose
80,30,40,0.29,2,310,1,1,3,black
202,4,200,1.32,3,331,2,1,3,black
299,30,52,0.36,1,365,1,1,3,black
70,5,183,1.27,1,237,5,2,3,black
115,7,253,1.77,1,243,3,1,3,black
149,30,47,0.33,1,90,1,1,0,rose
94,1,187,1.2,4,204,2,2,3,black
129,30,179,1.11,1,278,2,1,3,black
185,30,4,0.06,1,364,1,1,3,black
70,30,60,0.38,2,363,2,2,3,black
75,30,3,0.02,1,0,2,1,0,rose
110,30,232,1.53,2,365,2,2,3,black
175,3,377,2.58,1,134,1,1,0,rose
199,30,33,0.29,1,158,1,1,0,rose
85,5,52,0.33,1,129,2,2,0,rose
107,30,127,0.84,1,132,2,1,0,rose
400,90,5,0.06,1,118,1,1,0,rose
55,30,31,0.19,2,192,2,2,3,black
179,1,47,0.32,30,136,2,4,0,rose
56,2,222,1.53,1,75,1,2,0,rose
100,30,18,0.33,1,0,1,1,0,rose
429,1,11,0.08,30,216,2,4,3,black
349,1,10,0.07,30,216,2,2,3,black
105,1,492,4.24,2,135,1,2,0,rose
65,2,368,2.42,3,194,2,2,3,black
136,2,173,1.35,2,14,1,2,0,rose
160,30,37,0.33,2,33,2,1,0,rose
349,1,2,0.01,30,216,2,2,3,black
64,30,25,0.17,1,57,1,2,0,rose
425,30,13,0.1,9,365,3,1,3,black
125,30,279,1.93,1,335,1,1,3,black
250,5,272,1.7,1,39,1,1,0,rose
60,30,0,0.0,1,83,4,2,0,rose
220,30,53,0.34,1,125,1,1,0,rose
150,30,77,0.88,1,192,2,1,3,black
75,31,136,0.92,2,24,1,2,0,rose
73,30,256,1.76,1,331,2,1,3,black
120,3,69,0.46,3,278,2,2,3,black
179,1,26,0.19,30,141,2,4,0,rose
85,2,65,0.86,2,363,1,2,3,black
104,30,25,0.17,5,264,2,2,3,black
200,30,148,1.06,1,365,1,2,3,black
154,5,234,1.56,3,161,2,1,0,rose
195,4,235,1.61,1,233,1,2,3,black
166,30,167,1.16,1,0,1,1,0,rose
130,14,0,0.0,2,0,1,2,0,rose
150,30,240,1.7,4,365,2,1,3,black
95,30,1,0.01,1,0,1,2,0,rose
105,30,61,0.38,1,237,2,1,3,black
169,3,54,0.36,1,11,3,1,0,rose
80,30,168,1.11,1,0,2,1,0,rose
429,21,81,0.56,1,179,1,1,3,black
130,30,33,0.22,9,365,3,1,3,black
129,2,150,1.04,2,287,2,1,3,black
88,30,85,0.54,1,365,1,2,3,black
193,30,6,0.04,9,365,3,1,3,black
350,30,16,0.11,9,365,3,1,3,black
99,30,3,0.06,1,0,1,2,0,rose
200,30,0,0.0,1,365,1,2,3,black
85,30,36,0.23,2,364,1,2,3,black
171,3,298,1.91,3,351,2,1,3,black
650,5,59,0.46,2,88,1,1,0,rose
100,1,44,1.84,1,79,2,1,0,rose
135,30,145,1.0,1,352,2,1,3,black
150,30,19,0.13,1,217,1,1,3,black
95,2,154,1.02,3,278,2,2,3,black
161,3,122,0.82,4,306,1,1,3,black
125,30,30,0.21,1,153,2,1,0,rose
220,30,93,0.6,1,261,2,1,3,black
65,30,62,0.41,3,0,3,2,0,rose
125,5,277,1.84,1,169,1,2,3,black
83,30,29,0.25,1,0,2,1,0,rose
130,30,117,0.82,1,68,2,1,0,rose
129,5,98,0.84,2,16,2,2,0,rose
100,1,190,1.26,1,0,1,2,0,rose
85,3,43,0.29,1,3,2,2,0,rose
175,60,38,0.26,1,0,2,2,0,rose
74,3,253,1.7,4,45,1,2,0,rose
149,3,126,0.84,1,267,3,1,3,black
335,7,146,1.27,1,365,2,1,3,black
599,1,9,0.06,30,66,2,2,0,rose
90,30,479,3.09,3,64,2,1,0,rose
249,5,281,1.88,1,141,2,1,0,rose
190,2,246,1.75,1,289,1,1,3,black
375,1,281,1.95,1,0,2,1,0,rose
250,4,129,0.9,1,0,1,1,0,rose
114,2,17,0.12,1,89,3,2,0,rose
100,30,25,0.16,1,0,1,1,0,rose
350,2,180,1.25,1,58,1,1,0,rose
