Price,Min Nights,No of Reviews,Latitude,Longitude,Reviews Per Month,Calculated Host Listings,Availability,Neighbourhood Group Code,Room Type Code,Clusters,Cluster
150,30,49,40.75356,-73.98559,0.3,3,314,1,1,0,gray
60,30,50,40.68535,-73.95512,0.3,2,365,2,2,0,gray
75,2,118,40.8038,-73.96751,0.72,1,0,1,2,3,black
68,2,575,40.76457,-73.98317,3.41,1,106,1,2,3,black
275,60,3,40.66265,-73.99454,0.03,1,181,2,1,0,gray
93,3,350,40.68292,-73.96381,2.25,1,145,2,2,3,black
295,4,45,40.76076,-73.96156,0.27,1,1,1,1,3,black
124,3,223,40.66801,-73.98784,1.32,3,164,2,2,3,black
200,1,68,40.7672,-73.98464,0.44,4,310,1,2,0,gray
81,30,189,40.70935,-73.95342,1.13,1,207,2,1,0,gray
65,30,1,40.80107,-73.94255,0.11,2,204,1,2,0,gray
250,28,47,40.79544,-73.94836,0.37,1,81,1,1,3,black
120,30,32,40.73405,-74.00281,0.22,1,0,1,1,3,black
160,30,74,40.71516,-73.96448,0.51,1,77,2,1,3,black
80,30,4,40.6327,-73.93184,0.03,1,0,2,2,3,black
55,30,0,40.76336,-73.92099,0.0,1,0,3,2,3,black
62,30,243,40.78778,-73.94759,1.49,1,249,1,2,0,gray
100,2,532,40.68818,-73.96383,3.45,2,289,2,2,0,gray
139,30,93,40.68513,-73.96648,0.61,1,364,2,2,0,gray
95,7,13,40.71248,-73.95881,0.09,2,0,2,2,3,black
215,14,36,40.78846,-73.97459,0.26,1,184,1,1,0,gray
100,30,7,40.73094,-73.95484,0.07,1,362,2,2,0,gray
195,30,291,40.71512,-73.95899,1.89,1,92,2,1,3,black
596,2,236,40.72,-73.99487,1.61,1,21,1,1,3,black
205,2,323,40.691233,-73.972702,2.02,2,307,2,2,0,gray
139,120,20,40.78763,-73.96862,0.14,1,0,1,1,3,black
395,30,9,40.71778,-73.9568,0.05,1,365,2,1,0,gray
95,90,9,40.67376,-73.96611,0.06,1,174,2,2,3,black
160,30,63,40.77845,-73.98295,0.48,1,67,1,1,3,black
82,7,73,40.79128,-73.94125,0.48,1,267,1,2,0,gray
332,4,40,40.83403,-73.93951,0.34,2,309,1,1,0,gray
127,2,173,40.68462,-73.93839,1.05,2,288,2,1,0,gray
175,30,58,40.76724,-73.98664,0.35,1,0,1,1,3,black
200,45,143,40.73271,-74.00367,0.93,1,186,1,1,0,gray
150,6,29,40.71371,-73.96203,0.19,1,33,2,1,3,black
900,3,42,40.68442,-73.98068,0.32,1,212,2,1,1,green
55,30,98,40.81317,-73.95465,0.92,1,190,1,2,0,gray
90,30,82,40.68294,-73.95682,0.52,5,241,2,2,0,gray
107,15,60,40.7159,-73.99156,0.41,1,26,1,1,3,black
200,30,45,40.72997,-74.00196,0.34,1,202,1,1,0,gray
99,7,156,40.81800842285156,-73.94669342041016,1.02,1,74,1,1,3,black
150,4,251,40.71065139770508,-73.95087432861328,1.64,2,14,2,2,3,black
229,1,50,40.72919,-73.95588,0.34,1,0,2,1,3,black
90,30,15,40.87069,-73.90113,0.27,2,362,4,1,0,gray
124,4,222,40.66692,-73.98981,1.36,3,163,2,2,3,black
98,2,81,40.70458,-73.91835,0.5,1,4,2,1,3,black
139,30,44,40.76203,-73.98869,0.29,2,187,1,2,0,gray
150,30,0,40.63702,-73.96327,0.0,1,0,2,2,3,black
78,30,30,40.74523,-73.92318,0.2,1,144,3,2,3,black
60,7,291,40.72296,-73.98383,1.79,2,43,1,2,3,black
110,30,37,40.77743,-73.97691,0.26,1,0,1,1,3,black
135,30,337,40.68216,-73.94594,2.21,2,0,2,1,3,black
85,10,36,40.72744,-73.953,0.29,1,0,2,2,3,black
164,3,355,40.74757,-73.94571,2.29,1,94,3,2,3,black
750,5,73,40.71992,-73.99167,0.48,1,114,1,1,1,green
125,30,74,40.67946,-73.95417,0.46,1,156,2,1,3,black
80,30,40,40.80834,-73.94075,0.29,2,310,1,1,0,gray
202,4,200,40.67813,-74.00062,1.32,3,331,2,1,0,gray
299,30,52,40.75523,-73.99792,0.36,1,365,1,1,0,gray
70,5,183,40.64633,-74.08156,1.27,1,237,5,2,0,gray
115,7,253,40.77507,-73.93367,1.77,1,243,3,1,0,gray
149,30,47,40.80874,-73.94926,0.33,1,90,1,1,3,black
94,1,187,40.68064,-73.94039,1.2,4,204,2,2,0,gray
129,30,179,40.73535,-73.95584,1.11,1,278,2,1,0,gray
185,30,4,40.7449,-73.98499,0.06,1,364,1,1,0,gray
70,30,60,40.68777,-73.94976,0.38,2,363,2,2,0,gray
75,30,3,40.72364,-73.95013,0.02,1,0,2,1,3,black
110,30,232,40.69287,-73.97108,1.53,2,365,2,2,0,gray
175,3,377,40.71911,-73.98588,2.58,1,134,1,1,3,black
199,30,33,40.721359,-73.993668,0.29,1,158,1,1,3,black
85,5,52,40.71211,-73.96397,0.33,1,129,2,2,3,black
107,30,127,40.70894,-73.95234,0.84,1,132,2,1,3,black
400,90,5,40.74493,-73.99521,0.06,1,118,1,1,3,black
55,30,31,40.69121,-73.96804,0.19,2,192,2,2,0,gray
179,1,47,40.73777,-73.95366,0.32,30,136,2,4,3,black
56,2,222,40.722599029541016,-73.9854507446289,1.53,1,75,1,2,3,black
100,30,18,40.82569,-73.93842,0.33,1,0,1,1,3,black
429,1,11,40.73756,-73.9535,0.08,30,216,2,4,0,gray
349,1,10,40.73777,-73.95366,0.07,30,216,2,2,0,gray
105,1,492,40.72489,-73.9781,4.24,2,135,1,2,3,black
65,2,368,40.68834,-73.97578,2.42,3,194,2,2,0,gray
136,2,173,40.72281,-73.98501,1.35,2,14,1,2,3,black
160,30,37,40.67407,-73.98105,0.33,2,33,2,1,3,black
349,1,2,40.73777,-73.95366,0.01,30,216,2,2,0,gray
64,30,25,40.73948,-74.00504,0.17,1,57,1,2,3,black
425,30,13,40.70309,-73.89963,0.1,9,365,3,1,0,gray
125,30,279,40.72408,-73.98154,1.93,1,335,1,1,0,gray
250,5,272,40.8019,-73.93762,1.7,1,39,1,1,3,black
60,30,0,40.80635,-73.92201,0.0,1,83,4,2,3,black
220,30,53,40.72289,-73.98028,0.34,1,125,1,1,3,black
150,30,77,40.68433,-73.94469,0.88,1,192,2,1,0,gray
75,31,136,40.8063,-73.95985,0.92,2,24,1,2,3,black
73,30,256,40.68769,-73.91788,1.76,1,331,2,1,0,gray
120,3,69,40.68022,-73.97457,0.46,3,278,2,2,0,gray
179,1,26,40.73777,-73.95366,0.19,30,141,2,4,3,black
85,2,65,40.83253,-73.94108,0.86,2,363,1,2,0,gray
104,30,25,40.6829,-73.95701,0.17,5,264,2,2,0,gray
200,30,148,40.76967,-73.94831,1.06,1,365,1,2,0,gray
154,5,234,40.66913,-73.99041,1.56,3,161,2,1,3,black
195,4,235,40.74261,-74.00353,1.61,1,233,1,2,0,gray
166,30,167,40.71985,-73.98781,1.16,1,0,1,1,3,black
130,14,0,40.77449,-73.95308,0.0,2,0,1,2,3,black
150,30,240,40.67823,-73.94719,1.7,4,365,2,1,0,gray
95,30,1,40.73808,-73.98001,0.01,1,0,1,2,3,black
105,30,61,40.71802,-73.95724,0.38,1,237,2,1,0,gray
169,3,54,40.77868,-73.90652,0.36,1,11,3,1,3,black
80,30,168,40.70967,-73.95922,1.11,1,0,2,1,3,black
429,21,81,40.71974,-73.98393,0.56,1,179,1,1,0,gray
130,30,33,40.71567,-73.87842,0.22,9,365,3,1,0,gray
129,2,150,40.68413,-73.93817,1.04,2,287,2,1,0,gray
88,30,85,40.79936,-73.96155,0.54,1,365,1,2,0,gray
193,30,6,40.70422,-73.89778,0.04,9,365,3,1,0,gray
